,bodeganorte
1325,-11.762392
1326,4.7454634
1327,-2.6062999
1328,4.7076063
1329,10.451825
1330,8.153046
1331,-3.796341
1332,-1.674324
1333,16.782785
1334,2.6867409
1335,27.865126
1336,0.97084004
1337,227.1163
1338,221.20824
1339,214.72324
1340,470.75815
1341,648.42413
1342,538.0674
1343,479.2352
1344,412.19724
1345,246.76245
1346,101.76016
1347,15.685372
1348,20.54751
1349,15.951467
1350,0.112551995
1351,-6.925023
1352,-3.809177
1353,3.1033812
1354,0.0653894
1355,-0.11477255
1356,-3.0070739
1357,-2.287545
1358,-3.0876093
1359,69.788025
1360,207.56834
1361,371.21777
1362,496.02716
1363,330.68408
1364,235.89091
1365,207.69109
1366,234.97443
1367,233.44543
1368,211.6186
1369,154.55334
1370,21.936335
1371,-0.583741
1372,-6.4120417
1373,-1.9855253
1374,-11.367615
1375,2.7140565
1376,-33.342304
1377,-4.7222233
1378,-9.844596
1379,0.31901783
1380,-0.25594994
1381,70.606064
1382,281.29657
1383,302.6984
1384,748.2284
1385,677.97894
1386,688.33466
1387,420.5969
1388,388.85016
1389,223.86649
1390,83.17516
1391,5.842393
1392,11.228032
1393,3.1643388
1394,18.163845
1395,-3.0626514
1396,7.8571963
1397,-3.6824732
1398,-2.6958463
1399,-10.1149025
1400,-0.55793995
1401,4.1517143
1402,307.8234
1403,320.99487
1404,574.08374
1405,660.11597
1406,733.2458
1407,679.98065
1408,471.5746
1409,443.34158
1410,345.66913
1411,151.33365
1412,-15.841302
1413,-8.238851
1414,-15.153962
1415,-4.7273507
1416,-4.285233
1417,0.8451732
1418,-6.9476805
1419,-13.438566
1420,0.29641193
1421,3.379571
1422,-4.0203896
1423,54.23574
1424,153.4139
1425,284.8995
1426,242.52055
1427,175.06816
1428,212.06699
1429,242.66841
1430,106.47993
1431,186.76138
1432,161.28221
1433,68.23729
1434,3.661809
1435,-9.749529
1436,-6.5788627
1437,1.0488933
1438,-2.1996818
1439,4.9395285
1440,4.639058
1441,1.9576068
1442,1.0424662
1443,0.8434822
1444,-0.7188309
1445,142.9079
1446,142.02747
1447,291.90387
1448,417.53674
1449,491.8006
1450,339.86823
1451,415.33386
1452,320.7359
1453,258.46472
1454,91.20925
1455,-29.090628
1456,-11.955365
1457,43.66566
1458,-5.930723
1459,-9.372799
1460,14.279292
1461,4.2053556
1462,9.049833
1463,0.05885503
1464,4.3274336
1465,10.017365
1466,36.422974
1467,190.62303
1468,350.90073
1469,398.09244
1470,230.70576
1471,400.31613
1472,292.27655
1473,425.7063
1474,287.10736
1475,171.81189
1476,67.84358
1477,-3.4947062
1478,2.7358294
1479,-4.6508045
1480,0.9024499
1481,2.179415
1482,-1.0801939
1483,-0.8572406
1484,-0.400862
1485,-2.649735
1486,-1.6805867
1487,-5.6390753
1488,-0.4674857
1489,42.57796
1490,149.70926
1491,230.87485
1492,202.53111
1493,224.37927
1494,275.63998
1495,227.06018
1496,202.36386
1497,185.51343
1498,163.2967
1499,77.73151
1500,12.896375
1501,14.677489
1502,6.9883647
1503,-2.3859408
1504,8.150591
1505,-3.36673
1506,-3.6636229
1507,-2.0951295
1508,-0.17742786
1509,1.9161205
1510,-1.5383694
1511,32.670254
1512,46.10333
1513,165.40294
1514,232.26291
1515,299.12915
1516,250.85825
1517,273.7501
1518,214.53596
1519,204.83826
1520,282.50397
1521,207.77046
1522,71.60427
1523,1.3324174
1524,2.0417125
1525,-1.5210656
1526,1.7385029
1527,2.579046
1528,64.91966
1529,188.99199
1530,386.59195
1531,393.37845
1532,456.51187
1533,534.5063
1534,523.9343
1535,346.8663
1536,267.42453
1537,70.38258
1538,7.2925115
1539,475.5666
1540,407.69833
1541,379.346
1542,429.1744
1543,243.46912
1544,41.514984
1545,-13.867146
1546,214.91296
1547,159.97731
1548,190.56535
1549,319.98196
1550,202.0576
1551,237.20073
1552,221.34392
1553,318.7295
1554,118.153015
1555,152.20215
1556,329.14023
1557,260.9301
1558,428.80124
1559,295.3264
1560,285.00705
1561,198.81674
1562,258.22604
1563,324.65448
1564,143.52322
1565,97.17933
1566,151.26501
1567,299.31332
1568,346.28262
1569,321.25717
1570,352.02783
1571,320.18753
1572,246.5918
1573,157.4968
1574,154.78398
1575,38.48284
1576,-2.8010485
1577,1.3272402
1578,2.430083
1579,-2.1425207
1580,-6.124362
1581,-6.4684887
1582,-8.813839
1583,-2.2078772
1584,-2.505612
1585,-8.273013
1586,-0.52695656
1587,100.45111
1588,229.91425
1589,476.77023
1590,416.5407
1591,538.16626
1592,619.6306
1593,601.9879
1594,468.30072
1595,454.10022
1596,301.33374
1597,68.594666
1598,-12.951866
1599,0.80943054
1600,-0.94752103
1601,2.7658114
1602,-7.1236415
1603,-3.8592494
1604,-0.43665114
1605,-3.5716913
1606,-14.529798
1607,-1.7482826
1608,-1.0795887
1609,87.59367
1610,206.73979
1611,220.17053
1612,269.70654
1613,250.23465
1614,289.66254
1615,366.74042
1616,380.8289
1617,430.8874
1618,334.84207
1619,105.50713
1620,8.816455
1621,1.8537804
1622,-5.3509016
1623,-8.321578
1624,-10.9990425
1625,-3.1236777
1626,3.9152832
1627,1.0874552
1628,2.0688314
1629,1.8498979
1630,3.0351596
1631,106.490685
1632,217.95122
1633,240.59525
1634,220.84116
1635,272.34805
1636,581.5888
1637,512.47876
1638,477.1171
1639,373.92548
1640,244.55293
1641,108.23292
1642,17.253529
1643,-0.9881688
1644,-2.8791547
1645,0.11538259
1646,1.2431393
1647,5.4054127
1648,3.7407722
1649,-23.734972
1650,-2.7211878
1651,16.322285
1652,-7.834408
1653,177.23088
1654,466.41013
1655,468.31284
1656,724.0599
1657,880.00146
1658,865.4452
1659,777.4275
1660,479.25156
1661,499.9195
1662,201.22905
1663,32.60518
1664,-5.2125254
1665,0.80578405
1666,12.436657
1667,11.604456
1668,2.7852852
1669,0.09013302
1670,7.0745792
1671,1.3168906
1672,-10.579094
1673,-0.24127817
1674,-35.613693
1675,212.2986
1676,370.6369
1677,570.1671
1678,746.3812
1679,770.1669
1680,789.36847
1681,762.2153
1682,481.59955
1683,483.87445
1684,284.37683
1685,124.57532
1686,5.002101
1687,9.49237
1688,16.350908
1689,0.77700275
1690,7.344272
1691,-2.6925004
1692,3.2908492
1693,-0.5320362
1694,-4.308181
1695,1.8666118
1696,-0.08332091
